ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,RPL_THEMES
29,MISSOURI,MO,29149,Oregon,29149480200,"Census Tract 4802, Oregon County, Missouri",0.7347,0.9906,0.1527,0.7464,0.8003
29,MISSOURI,MO,29079,Grundy,29079960400,"Census Tract 9604, Grundy County, Missouri",0.6287,0.8134,0.696,0.7666,0.801
29,MISSOURI,MO,29077,Greene,29077000100,"Census Tract 1, Greene County, Missouri",0.8234,0.0598,0.7644,0.982,0.8017
29,MISSOURI,MO,29059,Dallas,29059480200,"Census Tract 4802, Dallas County, Missouri",0.633,0.933,0.1664,0.9524,0.8025
29,MISSOURI,MO,29215,Texas,29215480300,"Census Tract 4803, Texas County, Missouri",0.8161,0.7759,0.2183,0.879,0.8032
29,MISSOURI,MO,29077,Greene,29077004400,"Census Tract 44, Greene County, Missouri",0.5674,0.7233,0.4532,0.9784,0.8039
29,MISSOURI,MO,29095,Jackson,29095017100,"Census Tract 171, Jackson County, Missouri",0.6496,0.9546,0.536,0.714,0.8046
29,MISSOURI,MO,29007,Audrain,29007950100,"Census Tract 9501, Audrain County, Missouri",0.9193,0.299,0.5648,0.804,0.8053
29,MISSOURI,MO,29197,Schuyler,29197470200,"Census Tract 4702, Schuyler County, Missouri",0.7585,0.8804,0.2356,0.8703,0.8061
29,MISSOURI,MO,29189,St. Louis,29189210702,"Census Tract 2107.02, St. Louis County, Missouri",0.7123,0.781,0.5043,0.8357,0.8068
29,MISSOURI,MO,29510,St. Louis City,29510111500,"Census Tract 1115, St. Louis city, Missouri",0.8955,0.9179,0.5605,0.389,0.8075
